Time,P_load,P_production,P_charge,P_discharge,P_grid,P_waste,Battery_SoC,Reward,Cost_grid,Cost_waste,Total_cost
85,1840.4083,281.98044,281.98044,1556.4908,361.74202270507817,0,1556.4908,-2980.160114260242,36.17420227050782,0.0,36.17420227050782
86,911.7131,53.906784,53.906784,185.96085,735.0502700805664,0,185.96085,-759.6581947580438,73.50502700805664,0.0,73.50502700805664
87,1379.6185,1636.7101,1636.7101,41.42403,1340.2657014846802,0,41.42403,-1543.605628585985,134.02657014846804,0.0,134.02657014846804
88,1832.758,284.97604,284.97604,1552.6943,357.6984375000002,0,1552.6943,-2814.557885432756,35.76984375000002,0.0,35.76984375000002
89,830.95795,52.3035,52.3035,189.00647,651.4018005371094,0,189.00647,-751.1667793085421,65.14018005371094,0.0,65.14018005371094
90,2089.3533,1601.7333,1601.7333,39.74062,2051.5996828079224,0,39.74062,-1367.9438302427868,205.15996828079224,0.0,205.15996828079224
91,2043.7771,292.458,292.458,1519.5549,600.1999145507814,0,1519.5549,-4308.359245852725,60.01999145507814,0.0,60.01999145507814
92,1010.7657,51.951904,51.951904,197.85854,822.8000770568848,0,197.85854,-1260.4197559078902,82.28000770568849,0.0,82.28000770568849
93,1712.4381,1450.0404,1450.0404,38.940704,1675.4444412231446,0,38.940704,-1727.880192758195,167.54444412231447,0.0,167.54444412231447
94,1842.5153,264.76627,264.76627,1375.4889,535.8008117675781,0,1375.4889,-3518.4332392964225,53.580081176757815,0.0,53.580081176757815
95,864.17865,21.095793,21.095793,179.1338,694.0015357971191,0,179.1338,-1125.1815921486648,69.40015357971191,0.0,69.40015357971191
96,1408.9847,1062.9467,1062.9467,10.612908,1398.9024782657623,0,10.612908,-1457.4032498962683,139.89024782657623,0.0,139.89024782657623
97,1818.4983,288.01382,288.01382,1009.2408,859.7195465087891,0,1009.2408,-2937.69530620804,85.97195465087891,0.0,85.97195465087891
98,1645.1509,21.405197,21.405197,220.4952,1435.680445098877,0,220.4952,-1805.4111350433686,143.5680445098877,0.0,143.5680445098877
99,1898.1088,1182.2645,1182.2645,8.729927,1889.8153339385985,0,8.729927,-3014.928983364004,188.98153339385988,0.0,188.98153339385988
100,2588.997,290.54532,290.54532,1122.6918,1522.4398864746095,0,1122.6918,-3968.6121431675188,152.24398864746095,0.0,152.24398864746095
101,1534.3977,51.136204,51.136204,216.92902,1328.3151397705078,0,216.92902,-3197.123553881702,132.83151397705078,0.0,132.83151397705078
102,1586.2793,1340.933,1340.933,37.162075,1550.9753255844116,0,37.162075,-2789.4618483506815,155.09753255844117,0.0,155.09753255844117
103,2210.9272,269.89957,269.89957,1271.9304,1002.5933471679689,0,1271.9304,-3257.0480777659477,100.2593347167969,0.0,100.2593347167969
104,754.15314,38.478725,38.478725,189.46089,574.1652900695801,0,189.46089,-2105.4459348356945,57.416529006958015,0.0,57.416529006958015
105,1429.5308,299.99625,299.99625,26.583164,1404.2767557144166,0,26.583164,-1205.7470963881349,140.42767557144165,0.0,140.42767557144165
106,1921.5524,194.05316,194.05316,283.59732,1652.134913635254,0,283.59732,-2948.9812195708073,165.2134913635254,0.0,165.2134913635254
107,798.4087,46.60764,46.60764,169.42433,637.4555763244629,0,169.42433,-3469.4833566679495,63.74555763244629,0.0,63.74555763244629
108,1389.3005,1564.1827,1564.1827,35.360188,1355.7083589553833,0,35.360188,-1338.6566457915897,135.57083589553835,0.0,135.57083589553835
109,1551.1116,306.71875,306.71875,1484.1125,141.20465087890625,0,1484.1125,-2846.9876581109957,14.120465087890626,0.0,14.120465087890626
110,913.811,54.061485,54.061485,213.27164,711.2029190063477,0,213.27164,-296.5298083070659,71.12029190063477,0.0,71.12029190063477
111,1507.388,1570.3568,1570.3568,40.133587,1469.2610319137573,0,40.133587,-1493.5261043061716,146.92610319137574,0.0,146.92610319137574
112,1429.7904,323.722,323.722,1489.7267,14.550054931640716,0,1489.7267,-3085.448223943208,1.4550054931640717,0.0,1.4550054931640717
113,890.79944,54.103676,54.103676,229.12921,673.1266876220703,0,229.12921,-30.55532067334791,67.31266876220704,0.0,67.31266876220704
114,1239.2815,1587.9928,1587.9928,39.33906,1201.9093854904174,0,39.33906,-1413.5659926403393,120.19093854904175,0.0,120.19093854904175
115,1639.2698,313.31473,313.31473,1506.5227,208.0732055664064,0,1506.5227,-2524.0097399427473,20.80732055664064,0.0,20.80732055664064
116,756.5487,54.399017,54.399017,218.3583,549.1083145141602,0,218.3583,-436.9537893622088,54.910831451416016,0.0,54.910831451416016
117,1116.4941,1682.4879,1682.4879,40.186523,1078.316943359375,0,40.186523,-1153.1275106203518,107.83169433593751,0.0,107.83169433593751
118,1337.6372,319.7841,319.7841,1596.2484,0.0,0,1596.2484,-2264.465504956601,0.0,0.0,0.0
119,779.7476,60.319904,60.319904,219.78181,570.9548957824707,0,219.78181,-0.0,57.09548957824707,0.0,57.09548957824707
120,1603.3302,1714.5536,1714.5536,45.736446,1559.880576133728,0,45.736446,-1199.0052848387027,155.9880576133728,0.0,155.9880576133728
121,2151.0034,325.01584,325.01584,1626.4187,605.9056518554689,0,1626.4187,-3275.749331238416,60.59056518554689,0.0,60.59056518554689
122,1286.7212,59.307304,59.307304,223.16408,1074.7153175354003,0,223.16408,-1272.401918275164,107.47153175354003,0.0,107.47153175354003
123,1918.9498,1743.7782,1743.7782,44.596462,1876.5831899642944,0,44.596462,-2256.9021949149783,187.65831899642944,0.0,187.65831899642944
124,2023.4429,329.15063,329.15063,1654.2422,451.9127929687502,0,1654.2422,-3940.8245803985537,45.191279296875024,0.0,45.191279296875024
125,936.8158,59.5042,59.5042,225.62772,722.469465637207,0,225.62772,-949.0169670838847,72.2469465637207,0.0,72.2469465637207
126,1430.3307,1748.4615,1748.4615,44.653847,1387.9095340728759,0,44.653847,-1517.1858803986925,138.7909534072876,0.0,138.7909534072876
127,1643.202,319.36218,319.36218,1658.6882,67.44820556640639,0,1658.6882,-2914.609918187864,6.744820556640639,0.0,6.744820556640639
128,841.67377,41.755608,41.755608,216.09468,636.3838203430175,0,216.09468,-141.64115822542516,63.638382034301756,0.0,63.638382034301756
129,1443.1394,1389.2002,1389.2002,28.29442,1416.259705066681,0,28.29442,-1336.4059909957457,141.6259705066681,0.0,141.6259705066681
130,1966.1973,300.92444,300.92444,1318.251,713.858837890625,0,1318.251,-2974.1452964822397,71.3858837890625,0.0,71.3858837890625
131,916.44385,52.528522,52.528522,216.4966,710.7720802307128,0,216.4966,-1499.1034626097417,71.0772080230713,0.0,71.0772080230713
132,1861.7927,1455.3988,1455.3988,38.50754,1825.2105600357056,0,38.50754,-1492.6213872750482,182.52105600357058,0.0,182.52105600357058
133,1797.7792,321.97806,321.97806,1380.602,486.20722656249995,0,1380.602,-3832.942136659843,48.620722656249995,0.0,48.620722656249995
134,936.9924,55.510063,55.510063,233.21588,715.4372833251953,0,233.21588,-1021.035046313762,71.54372833251954,0.0,71.54372833251954
135,1252.9525,1632.1675,1632.1675,40.46004,1214.5154756546021,0,40.46004,-1502.4182801175573,121.45154756546022,0.0,121.45154756546022
136,2030.1514,299.93997,299.93997,1548.4296,559.1432800292969,0,1548.4296,-2550.482488851574,55.91432800292969,0.0,55.91432800292969
137,1021.1172,55.53819,55.53819,203.44669,827.8428359985352,0,203.44669,-1174.200970916524,82.78428359985352,0.0,82.78428359985352
138,1190.4778,749.05536,749.05536,42.053562,1150.5268991470336,0,42.053562,-1738.4699075438552,115.05268991470336,0.0,115.05268991470336
139,1752.25,265.39914,265.39914,709.3892,1078.330239868164,0,709.3892,-2416.1065823864687,107.8330239868164,0.0,107.8330239868164
140,869.48047,9.900959,9.900959,214.79291,665.4272064208984,0,214.79291,-2264.493444366746,66.54272064208985,0.0,66.54272064208985
141,1617.357,550.9518,550.9518,0.0,1617.3570556640625,0,0.0,-1397.3971409561293,161.73570556640627,0.0,161.73570556640627
142,1896.7501,84.10189,84.10189,523.4042,1399.5161560058593,0,523.4042,-3396.4499429277826,139.95161560058594,0.0,139.95161560058594
143,1404.3971,32.037476,32.037476,52.34921,1354.6653463363648,0,52.34921,-2938.983866207737,135.46653463363648,0.0,135.46653463363648
144,2347.5518,1367.9075,1367.9075,27.680382,2321.2553951263426,0,27.680382,-2844.7972828797683,232.12553951263428,0.0,232.12553951263428
145,2359.77,299.3493,299.3493,1298.0552,1126.6176025390625,0,1298.0552,-4874.636412825926,112.66176025390627,0.0,112.66176025390627
146,997.80457,30.870176,30.870176,216.06314,792.544581604004,0,216.06314,-2365.8970816341093,79.2544581604004,0.0,79.2544581604004
147,1300.761,754.04803,754.04803,17.954924,1283.7038088798522,0,17.954924,-1664.3436205202252,128.37038088798522,0.0,128.37038088798522
148,2077.6003,285.98862,285.98862,715.40063,1397.9697387695314,0,715.40063,-2695.778125841786,139.79697387695316,0.0,139.79697387695316
149,1681.7349,42.613503,42.613503,234.03653,1459.4001602172852,0,234.03653,-2935.736225873207,145.94001602172852,0.0,145.94001602172852
150,1910.215,1469.336,1469.336,28.165113,1883.4581080436706,0,28.165113,-3064.7403766978127,188.34581080436706,0.0,188.34581080436706
151,2482.399,308.6877,308.6877,1394.3868,1157.731427001953,0,1394.3868,-3955.261906945058,115.77314270019531,0.0,115.77314270019531
152,860.2462,36.67855,36.67855,219.86453,651.3749099731446,0,219.86453,-2431.23613766478,65.13749099731446,0.0,65.13749099731446
153,1670.1576,1411.8851,1411.8851,23.272806,1648.048426914215,0,23.272806,-1367.8873148439732,164.80484269142153,0.0,164.80484269142153
154,2511.9714,173.37929,173.37929,1340.066,1238.9086975097657,0,1340.066,-3460.901647288038,123.89086975097658,0.0,123.89086975097658
155,1839.2372,11.391728,11.391728,94.180534,1749.7656749725343,0,94.180534,-2601.7085465650057,174.97656749725343,0.0,174.97656749725343
156,1878.4894,828.5162,828.5162,5.8652716,1872.9173718929292,0,5.8652716,-3674.5079781162203,187.29173718929292,0.0,187.29173718929292
157,2385.254,223.05286,223.05286,786.7817,1637.811312866211,0,786.7817,-3933.126458992238,163.7811312866211,0.0,163.7811312866211
158,790.7551,18.254892,18.254892,170.49065,628.7890129089355,0,170.49065,-3439.40363119002,62.87890129089356,0.0,62.87890129089356
159,1234.6279,1071.6522,1071.6522,8.368957,1226.6774209499358,0,8.368957,-1320.4569850843973,122.66774209499359,0.0,122.66774209499359
160,1353.5791,294.13162,294.13162,1017.62915,386.8314086914063,0,1017.62915,-2576.022541640406,38.68314086914063,0.0,38.68314086914063
161,752.9431,65.49541,65.49541,225.8656,538.3707946777344,0,225.8656,-812.3458969113174,53.837079467773435,0.0,53.837079467773435
162,1140.7006,1326.616,1326.616,50.33297,1092.8842403411866,0,50.33297,-1130.578672597974,109.28842403411866,0.0,109.28842403411866
163,1109.6862,174.57472,174.57472,1257.6361,0.0,0,1257.6361,-2295.056801686164,0.0,0.0,0.0
164,677.8811,17.84704,17.84704,99.65461,583.209224319458,0,99.65461,-0.0,58.3209224319458,0.0,58.3209224319458
165,1009.1974,729.1972,729.1972,11.709709,998.073163986206,0,11.709709,-1224.7393666468358,99.80731639862061,0.0,99.80731639862061
166,1116.1907,280.9819,280.9819,692.12103,458.6756927490235,0,692.12103,-2095.9535898235686,45.86756927490235,0.0,45.86756927490235
167,761.29266,26.819784,26.819784,230.50539,542.3125465393066,0,230.50539,-963.2190579906836,54.23125465393066,0.0,54.23125465393066
168,982.785,1206.37,1206.37,13.346933,970.1053864479065,0,13.346933,-1138.8564181965348,97.01053864479066,0.0,97.01053864479066
169,1126.0391,299.98218,299.98218,1145.349,37.95751342773451,0,1145.349,-2037.221314160964,3.7957513427734515,0.0,3.7957513427734515
170,663.172,49.701687,49.701687,224.70154,449.7055358886719,0,224.70154,-79.71087187824365,44.97055358886719,0.0,44.97055358886719
171,1217.9941,1536.2518,1536.2518,35.390205,1184.3734455108643,0,35.390205,-944.3815825805649,118.43734455108643,0.0,118.43734455108643
172,1231.6403,493.37433,493.37433,1457.5767,0.0,0,1457.5767,-2487.1841305781845,0.0,0.0,0.0
173,725.1251,364.5353,364.5353,391.99106,352.7336166381836,0,391.99106,-0.0,35.27336166381836,0.0,35.27336166381836
174,976.9368,364.5353,364.5353,325.67743,667.5432708740234,0,325.67743,-740.7405805014292,66.75432708740234,0.0,66.75432708740234
175,1096.9629,364.5353,364.5353,329.16763,784.2536392211914,0,329.16763,-1401.8408679127685,78.42536392211915,0.0,78.42536392211915
176,628.39716,364.5353,364.5353,328.98392,315.86243438720703,0,328.98392,-1646.9326770464886,31.586243438720704,0.0,31.586243438720704
177,1048.6222,364.5353,364.5353,328.9936,736.0782806396485,0,328.9936,-663.3110648503241,73.60782806396485,0.0,73.60782806396485
178,1319.2957,364.5353,364.5353,328.99307,1006.7522354125977,0,328.99307,-1545.7643466080544,100.67522354125977,0.0,100.67522354125977
179,764.2985,364.5353,364.5353,328.9931,451.7550750732422,0,328.9931,-2114.179737532955,45.17550750732423,0.0,45.17550750732423
180,1063.9913,364.5353,364.5353,328.9931,751.447885131836,0,328.9931,-948.6856636266571,75.1447885131836,0.0,75.1447885131836
